What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?
Apps,6/24/2016 14:02:56,3,2
Apps,6/23/2016 14:48:47,3,3
Apps,6/24/2016 9:50:50,3,4
Apps,6/24/2016 13:21:09,3,5
Apps,6/23/2016 13:21:46,4,2
Apps,6/24/2016 13:58:52,4,2
Apps,6/24/2016 14:12:41,4,2
Apps,6/23/2016 13:19:38,4,3
Apps,6/24/2016 9:49:30,4,3
Apps,6/24/2016 9:53:41,4,3
Apps,6/24/2016 9:54:45,4,3
Apps,6/24/2016 11:37:05,4,3
Apps,6/24/2016 11:40:59,4,3
Apps,6/24/2016 11:46:04,4,3
Apps,6/24/2016 13:07:03,4,3
Apps,6/24/2016 13:11:15,4,3
Apps,6/24/2016 13:20:57,4,3
Apps,6/24/2016 13:27:16,4,3
Apps,6/24/2016 13:33:49,4,3
Apps,6/24/2016 13:37:25,4,3
Apps,6/24/2016 13:38:57,4,3
Apps,6/23/2016 16:11:39,4,4
Apps,6/24/2016 9:51:03,4,4
Apps,6/24/2016 13:58:11,4,4
Apps,6/24/2016 14:07:33,4,4
Apps,6/24/2016 15:34:30,4,4
Apps,6/24/2016 13:16:51,4,5
Apps,6/24/2016 14:05:35,4,5
Apps,6/25/2016 20:09:34,4,2
Apps,6/24/2016 13:32:30,5,2
Apps,6/24/2016 14:05:44,5,2
Apps,6/23/2016 13:17:43,5,3
Apps,6/23/2016 14:44:06,5,3
Apps,6/24/2016 9:49:15,5,3
Apps,6/24/2016 9:49:18,5,3
Apps,6/24/2016 9:50:06,5,3
Apps,6/24/2016 9:50:19,5,3
Apps,6/24/2016 11:34:57,5,3
Apps,6/24/2016 13:05:10,5,3
Apps,6/24/2016 13:07:59,5,3
Apps,6/24/2016 13:09:46,5,3
Apps,6/24/2016 13:18:32,5,3
Apps,6/24/2016 13:27:04,5,3
Apps,6/24/2016 13:27:52,5,3
Apps,6/24/2016 13:38:21,5,3
Apps,6/24/2016 13:38:29,5,3
Apps,6/24/2016 14:01:31,5,3
Apps,6/24/2016 15:38:31,5,3
Apps,6/23/2016 13:19:41,5,4
Apps,6/23/2016 13:19:58,5,4
Apps,6/24/2016 9:50:59,5,4
Apps,6/24/2016 9:51:08,5,4
Apps,6/24/2016 11:05:49,5,4
Apps,6/24/2016 13:34:12,5,4
Apps,6/24/2016 15:38:21,5,4
Apps,6/24/2016 16:23:30,5,4
Apps,6/25/2016 19:10:35,5,3
Apps,6/25/2016 21:41:09,5,3
Games,6/24/2016 13:34:08,4,3
Games,6/24/2016 13:36:37,4,3
Games,6/24/2016 13:39:47,4,4
Games,6/24/2016 13:32:17,5,3
Games,6/24/2016 13:34:38,5,3
Games,6/24/2016 13:35:43,5,3
Games,6/24/2016 13:36:49,5,3
Games,6/24/2016 14:11:08,5,3
Games,6/24/2016 13:35:31,5,4
Games,6/24/2016 13:45:54,5,4
Intro,6/27/2016 15:01:42,3,3
Intro,6/24/2016 11:41:34,4,3
Intro,6/24/2016 11:47:36,4,3
Intro,6/24/2016 13:36:03,4,3
Intro,6/24/2016 13:42:02,4,3
Intro,6/24/2016 13:45:04,4,3
Intro,6/24/2016 13:47:15,4,3
Intro,6/24/2016 11:42:30,4,4
Intro,6/24/2016 12:58:35,4,4
Intro,6/26/2016 22:45:58,4,4
Intro,6/24/2016 11:41:47,5,2
Intro,6/24/2016 11:41:42,5,3
Intro,6/24/2016 11:53:29,5,3
Intro,6/24/2016 13:33:35,5,3
Intro,6/24/2016 13:56:06,5,3
Intro,6/24/2016 16:19:53,5,3
Intro,6/24/2016 11:53:20,5,4
Intro,6/24/2016 14:21:25,5,4
Intro,6/24/2016 13:20:34,5,5
Intro,6/24/2016 13:41:56,5,5
Intro,6/26/2016 23:32:51,5,3
VR,6/29/2016 22:39:27,3,3
VR,6/24/2016 13:30:31,5,3
VR,6/24/2016 14:41:17,5,3
VR,6/24/2016 17:29:38,5,3
