,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?
6/24/2016 13:32:01,Games,2,4
6/24/2016 13:48:09,Apps,3,4
6/24/2016 13:49:23,Apps,3,3
6/24/2016 13:53:25,Apps,3,5
6/24/2016 13:55:19,Apps,3,3
6/24/2016 13:41:53,Games,3,3
6/24/2016 13:46:23,Apps,4,4
6/24/2016 13:46:42,Apps,4,3
6/24/2016 13:47:24,Apps,4,3
6/24/2016 13:47:25,Apps,4,4
6/24/2016 13:47:36,Apps,4,3
6/24/2016 13:48:00,Apps,4,4
6/24/2016 13:48:29,Apps,4,4
6/24/2016 13:48:48,Apps,4,3
6/24/2016 13:49:35,Apps,4,4
6/24/2016 13:50:37,Apps,4,3
6/24/2016 13:51:11,Apps,4,4
6/24/2016 13:51:13,Apps,4,4
6/24/2016 13:52:06,Apps,4,3
6/24/2016 13:52:21,Apps,4,3
6/24/2016 13:52:50,Apps,4,5
6/24/2016 13:53:03,Apps,4,3
6/24/2016 13:55:00,Apps,4,3
6/24/2016 13:59:24,Apps,4,3
6/24/2016 13:28:35,Games,4,4
6/24/2016 13:31:45,Games,4,4
6/24/2016 13:32:49,Games,4,4
6/24/2016 13:34:57,Games,4,3
6/24/2016 13:39:47,Games,4,4
6/24/2016 13:45:39,Games,4,3
6/24/2016 14:10:46,Games,4,4
6/24/2016 14:12:14,Games,4,3
6/24/2016 14:12:35,Games,4,4
6/24/2016 13:44:44,Intro,4,4
6/24/2016 13:45:54,Intro,4,3
6/24/2016 13:49:54,Intro,4,4
6/24/2016 13:50:04,Intro,4,3
6/24/2016 13:50:19,Intro,4,4
6/24/2016 13:51:46,Intro,4,3
6/24/2016 13:53:22,Intro,4,3
6/24/2016 13:55:06,Intro,4,3
6/24/2016 13:47:09,Apps,5,3
6/24/2016 13:47:20,Apps,5,3
6/24/2016 13:47:25,Apps,5,3
6/24/2016 13:49:23,Apps,5,3
6/24/2016 13:50:25,Apps,5,3
6/24/2016 13:50:34,Apps,5,3
6/24/2016 13:50:54,Apps,5,4
6/24/2016 13:51:20,Apps,5,4
6/24/2016 13:53:34,Apps,5,3
6/24/2016 13:54:13,Apps,5,4
6/24/2016 13:54:38,Apps,5,4
6/24/2016 13:30:55,Games,5,4
6/24/2016 13:33:00,Games,5,2
6/24/2016 13:34:13,Games,5,3
6/24/2016 14:05:25,Games,5,4
6/24/2016 13:44:05,Intro,5,3
6/24/2016 13:45:50,Intro,5,2
6/24/2016 13:47:01,Intro,5,3
6/24/2016 13:49:01,Intro,5,3
6/24/2016 13:49:44,Intro,5,3
6/24/2016 13:50:23,Intro,5,3
