Timestamp,What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
7/1/2016 13:27:56,Apps,3,4
7/1/2016 13:29:33,Apps,3,5
7/1/2016 13:29:43,Apps,3,3
7/1/2016 13:30:28,Apps,3,4
7/1/2016 13:34:11,Apps,3,3
7/1/2016 13:35:20,Apps,3,3
7/1/2016 16:35:14,Apps,3,3
7/1/2016 17:01:13,Apps,3,4
7/2/2016 9:50:36,Apps,3,3
7/1/2016 10:36:57,Games,3,3
7/1/2016 10:41:44,Games,3,5
7/1/2016 10:47:58,Games,3,3
7/1/2016 10:56:51,Games,3,3
7/4/2016 23:02:16,Intro,3,4
7/1/2016 13:27:10,Apps,4,3
7/1/2016 13:28:59,Apps,4,3
7/1/2016 13:29:07,Apps,4,3
7/1/2016 13:29:40,Apps,4,4
7/1/2016 13:30:05,Apps,4,4
7/1/2016 13:30:53,Apps,4,3
7/1/2016 13:31:04,Apps,4,4
7/1/2016 13:39:46,Apps,4,3
7/1/2016 13:41:30,Apps,4,4
7/1/2016 13:49:17,Apps,4,3
7/1/2016 15:59:22,Apps,4,3
7/1/2016 15:59:54,Apps,4,3
7/1/2016 16:02:57,Apps,4,3
7/1/2016 16:30:11,Apps,4,4
7/1/2016 16:32:24,Apps,4,4
7/1/2016 17:51:29,Apps,4,4
7/1/2016 9:46:04,Games,4,4
7/1/2016 9:47:30,Games,4,2
7/1/2016 10:41:18,Games,4,3
7/1/2016 10:41:34,Games,4,2
7/1/2016 10:45:47,Games,4,3
7/1/2016 13:12:22,Intro,4,3
7/1/2016 13:19:07,Intro,4,3
7/1/2016 13:25:54,Intro,4,3
7/1/2016 13:28:33,Intro,4,4
7/1/2016 13:29:01,Intro,4,4
7/1/2016 13:33:15,Intro,4,3
7/1/2016 13:33:28,Intro,4,3
7/1/2016 13:29:47,Apps,5,3
7/1/2016 13:30:07,Apps,5,3
7/1/2016 13:32:18,Apps,5,4
7/1/2016 16:01:17,Apps,5,3
7/1/2016 16:02:10,Apps,5,4
7/1/2016 16:04:18,Apps,5,3
7/1/2016 16:44:38,Apps,5,3
7/1/2016 9:41:30,Games,5,4
7/1/2016 10:43:14,Games,5,2
7/1/2016 10:47:06,Games,5,3
7/1/2016 10:47:57,Games,5,4
7/1/2016 13:25:32,Intro,5,2
7/1/2016 13:26:00,Intro,5,5
7/1/2016 13:28:10,Intro,5,2
