What track are you in?,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
Apps,3,3
Apps,4,3
Apps,4,3
Apps,4,4
Apps,3,3
Apps,5,3
Apps,3,2
Apps,5,3
Apps,1,3
Apps,4,3
Apps,5,3
Apps,4,4
Apps,3,4
Games,4,3
Games,5,3
Games,1,5
Games,5,3
Games,4,3
Games,5,3
Intro,5,2
Intro,4,3
Intro,3,5
Intro,5,3
Intro,5,4
Intro,5,3
Intro,5,3
Intro,5,3
Intro,5,2
Intro,5,3
Intro,5,3
Intro,4,3
Intro,5,3
Intro,5,3
Intro,4,4
Intro,5,3
Intro,5,3
VR,5,4
VR,5,4
VR,4,4
VR,5,3
Intro,3,3
Intro,3,3
