What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
Apps,7/29/2016 15:17:19,4,3
Apps,7/29/2016 16:21:52,3,4
Apps,7/29/2016 16:22:54,2,3
Apps,7/29/2016 16:54:46,4,3
Apps,7/29/2016 22:40:39,3,4
Apps,7/31/2016 23:10:54,5,3
Apps,7/30/2016 11:06:02,1,3
Apps,7/29/2016 15:23:30,3,3
Apps,7/29/2016 15:29:56,5,3
Apps,7/29/2016 15:34:35,4,3
Apps,7/29/2016 15:25:23,5,3
Games,7/29/2016 15:17:52,5,3
Games,7/29/2016 15:14:11,5,3
Games,7/29/2016 15:13:01,4,3
Games,7/29/2016 17:07:36,5,4
Games,7/29/2016 15:50:15,5,4
Games,7/29/2016 15:36:20,3,4
Intro,7/29/2016 18:46:09,5,3
Intro,7/29/2016 16:09:44,5,3
Intro,7/29/2016 15:00:35,3,4
Intro,7/29/2016 15:02:01,5,3
Intro,7/29/2016 15:09:17,5,3
VR,7/30/2016 9:00:15,4,3
VR,7/29/2016 21:45:54,4,4
VR,7/30/2016 13:09:48,4,3
